127.0.0.1 - - [15/Mar/2022:11:56:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:13 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5682
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:13 +0900] "GET /mybatis/css/reset.css HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:13 +0900] "GET /mybatis/css/layout.css HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:13 +0900] "GET /mybatis/css/form.css HTTP/1.1" 200 6851
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:13 +0900] "GET /mybatis/summernote/summernote.min.css HTTP/1.1" 200 19266
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:13 +0900] "GET /mybatis/summernote/summernote.min.js HTTP/1.1" 200 151092
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:13 +0900] "GET /mybatis/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:13 +0900] "GET /mybatis/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:28 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5682
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:31 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5682
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:35 +0900] "GET /mybatis/member/Login.do HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:49 +0900] "POST /mybatis/member/LoginProcess.do HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:50 +0900] "GET /mybatis/board/Index.do HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:53 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5701
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:55 +0900] "GET /mybatis/board/Write.do HTTP/1.1" 200 9945
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:56:56 +0900] "GET /mybatis/summernote/font/summernote.woff2 HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:57:01 +0900] "POST /mybatis/board/WriteProcess.do HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:57:03 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5603
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:57:06 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5603
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:57:10 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5603
0:0:0:0:0:0:0:1 - - [15/Mar/2022:11:57:12 +0900] "GET /mybatis/board/Write.do HTTP/1.1" 200 9945
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:06 +0900] "GET /mybatis/ HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:14 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5725
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:14 +0900] "GET /mybatis/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:14 +0900] "GET /mybatis/summernote/summernote.min.js HTTP/1.1" 200 151092
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:14 +0900] "GET /mybatis/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:22 +0900] "GET /mybatis/member/Login.do HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:26 +0900] "POST /mybatis/member/LoginProcess.do HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:27 +0900] "GET /mybatis/board/Index.do HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:28 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:30 +0900] "GET /mybatis/board/View.do?no=123&num=1 HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:32 +0900] "GET /mybatis/board/ReplyWrite.do?no=123&reGroup=49&reStep=1&reLevel=1 HTTP/1.1" 200 10146
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:32 +0900] "GET /mybatis/summernote/font/summernote.woff2 HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:38 +0900] "POST /mybatis/board/ReplyWriteProcess.do HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:39 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:46 +0900] "GET /mybatis/board/View.do?no=123&num=1 HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:48 +0900] "GET /mybatis/board/Write.do HTTP/1.1" 200 9945
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:55 +0900] "POST /mybatis/board/WriteProcess.do HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:04:56 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5617
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:05:00 +0900] "GET /mybatis/board/View.do?no=123&num=2 HTTP/1.1" 200 9241
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:05:02 +0900] "GET /mybatis/board/ReplyWrite.do?no=123&reGroup=49&reStep=1&reLevel=1 HTTP/1.1" 200 10146
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:05:08 +0900] "POST /mybatis/board/ReplyWriteProcess.do HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [15/Mar/2022:14:05:09 +0900] "GET /mybatis/board/BoardList.do HTTP/1.1" 200 5592
